Coolfarm.name;Dry.matter.fraction.FDM;Slope.a;Intercept.b
ALFALFA;0.4;0.29;0
BARLEY;0.89;0.98;0.59
DRY BEAN;0.91;1.13;0.85
OTHER TUBER CROP;0.22;0.1;1.06
VEGETABLE;0.1235;0.1551;0.1166
OATS;0.89;0.91;0.89
CANOLA;0.85;1.09;0.88
CLOVER;0.4;1.13;0.85
COTTON;0.85;1.09;0.88
TOMATO;0.9;0;3.2267
GRASS-CLOVER MIX;0.9;0.3;0
PERENNIAL GRASS;0.85;0.3;0
RAPESEED;0.85;1.09;0.88
MAIZE;0.87;1.03;0.61
MILLET;0.9;1.43;0.14
OTHER GRAIN;0.85;1.09;0.88
OTHER LEGUME;0.91;1.13;0.85
OTHER N-FIXING FORAGE;0.4;0.3;0
OTHER NON-N-FIXING FORAGE;0.4;0.3;0
RICE;0.89;0.95;2.46
RYE;0.88;1.09;0.88
SORGHUM;0.89;0.88;1.33
SOYBEAN;0.91;0.93;1.35
SPRING WHEAT;0.89;1.29;0.75
WINTER WHEAT;0.89;1.61;0.4
TREE CROP;0.9;0.3;0
MAIZE-1;0.35;1.03;0.61
OATS-1;0.85;1.09;0.88
GRASS-1;0.4;0.3;0
GRASS-2;0.4;1.09;0.88
GRASS-3;0.4;0.3;0
OTHER-GRAIN-1;0.88;1.09;0.88
OTHER-NON-N-FIXING-FORAGE-1;0.85;1.09;0.88
RYE-1;0.88;1.09;0.88
WINTER-WHEAT-1;0.89;0.98;0.59
ALFAALFA-1;0.9;0.29;0
BARLEY-1;0.4;0.98;0.59
DRY BEAN-1;0.4;1.13;0.85
OTHER TUBER CROP-1;0.9;0.1;1.06
GRASS-CLOVER-MIX-1;0.4;0.3;0
CLOVER-1;0.91;1.13;0.85
RAPESEED-1;0.4;1.09;0.88
OATS-2;0.4;0.91;0.89
RYE-2;0.4;1.09;0.88
SORGHUM-1;0.4;0.88;1.33
SOYBEAN-1;0.4;0.93;1.35
SPRING WHEAT-1;0.4;1.29;0.75
WINTER WHEAT-2;0.89;1.61;0.4
GRASS-4;0.88;1.09;0.88